"","GEOID_2020","percentage_age_65_and_over","percentage_prime_age","percentage_employed","percentage_education","population_total","percentage_white","percentage_ethnicity_black_hispanic_latino","median_gross_rent_percent_of_income","percentage_income_below_poverty","percentage_small","percentage_tenure_owner","housing_units_total","percentage_housing_units_vacant","percentage_travel_time_less_than_30","percentage_mhc","percentage_urban","population_1000s","median_household_income_1000s","housing_value_median_1000s","all_permits","year"
"322",180879702004,19.5429472025217,14.2631993695823,100,10.8527131782946,1269,96.1832061068702,5.23690773067332,22.5,6.47911338448423,54.3640897755611,76.3092269326683,410,4.63414634146341,88.2121807465619,12.4390243902439,21.4285714285714,1.269,65.7548272357724,165.476719512195,217,2000
"323",180879703012,8.21661998132586,22.1288515406162,98.6486486486486,7.61904761904762,1071,94.6327683615819,1.98863636363636,18,3.54808590102708,49.4318181818182,79.2613636363636,467,24.1970021413276,76.8916155419223,34.9036402569593,0,1.071,70.1389833739837,136.168853658537,217,2000
"324",180879704023,8.68377935554342,20.1529219006008,98.7898789878988,5.28942115768463,1831,97.4193548387097,1.29032258064516,19.3,8.94130554031816,51.9354838709677,69.6774193548387,660,6.06060606060606,81.6350710900474,10.9090909090909,0,1.831,60.3531621138211,137.521524390244,217,2000
"325",180879706002,16.403785488959,20.1104100946372,97.2375690607735,13.7214137214137,1268,100,0.19047619047619,30,1.34069400630915,66.6666666666667,89.3333333333333,746,29.088471849866,60.9682299546142,6.4343163538874,0,1.268,74.6794481300813,170.436512195122,217,2000
"326",180879707002,17.5438596491228,13.5566188197767,95.3748006379585,10.467706013363,1254,97.5425330812854,0,19.4,2.56204963971177,67.7606177606178,88.2239382239382,818,35.2078239608802,50.7908611599297,8.19070904645477,0,1.254,67.6335365853659,197.640223577236,217,2000
"327",180890102033,6.62177328843996,28.2828282828283,82.051282051282,10.7876712328767,891,6.25,94.5355191256831,26.7,34.1628959276018,61.2021857923497,28.6885245901639,445,12.8089887640449,67.5675675675676,12.3595505617978,100,0.891,35.984047398374,59.8181056910569,1928,2000
"328",180890102071,11.1060948081264,22.2121896162528,88.2671480144404,9.70588235294118,2215,34.0020060180542,70.4123711340206,21.9,15.8013544018059,66.5979381443299,34.8453608247423,1095,10.5022831050228,67.4418604651163,7.67123287671233,100,2.215,44.7884308943089,90.9295325203252,1928,2000
"329",180890123004,8.21806346623271,13.5882831570382,82.0568927789934,5.54675118858954,1229,3.67647058823529,92.1518987341772,36.3,37.4288039056143,51.8987341772152,50.126582278481,498,18.4738955823293,68.8046647230321,0,100,1.229,34.01516,59.5175121951219,1928,2000
"330",180890203004,7.65625,22.03125,81.2925170068027,6.68604651162791,640,79.4258373205742,26.1261261261261,33.1,16.3522012578616,50,64.8648648648649,220,5,70.2928870292887,0,100,0.64,51.5202222357724,93.1839837398374,1928,2000
"331",180890203005,21.1524434719183,19.6207148067104,93.5483870967742,4.53172205438066,1371,92.9310344827586,16.0899653979239,16.9,8.82567469000729,66.7820069204152,80.1038062283737,619,6.30048465266559,71.3780918727915,25.2019386106624,100,1.371,47.7327441869919,102.201788617886,1928,2000
"332",180890411003,13.6529503501279,24.2110654693345,87.8849303849304,2.76872964169381,445.5,84.2873708623234,9.02260041375541,25.5,14.3096927938663,55.5915531441509,68.5272649205668,205.5,12.4715002279981,56.3565891472868,21.6750265997872,100,0.4455,51.0685805081301,52.6790101626016,1928,2000
"333",180890412001,5.60519902518278,23.9642567018684,96.2790697674419,4.95726495726496,1231,83.864118895966,14.6551724137931,35.8,36.961819658814,58.1896551724138,65.948275862069,526,11.2167300380228,72.568578553616,62.9277566539924,100,1.231,31.8899639837398,NA,1928,2000
"334",180890412002,11.6343490304709,22.1606648199446,84.6645367412141,3.94557823129252,1083,95.6262425447316,7.29166666666667,17.5,15.6048014773777,65.2083333333333,80.625,551,8.8929219600726,80.6640625,64.2468239564428,100,1.083,43.9783314227642,16.3823455284553,1928,2000
"335",180890412003,15.1732377538829,23.1780167264038,92.7710843373494,3.2064128256513,837,81.3380281690141,31.5286624203822,21.8,15.1774785801714,56.0509554140127,62.7388535031847,317,8.83280757097792,62.6334519572954,18.9274447949527,100,0.837,47.2262441463415,51.702081300813,1928,2000
"336",180890414001,9.07172995780591,25.7383966244726,90.632318501171,13.2686084142395,948,81.7109144542773,25.0720461095101,20.7,1.05485232067511,55.6195965417867,76.657060518732,371,6.19946091644205,69.3121693121693,11.3207547169811,100,0.948,56.4649852439024,116.179386178862,1928,2000
"337",180890416001,9.2552026286966,29.0251916757941,90.0552486187845,3.03555941023417,1826,88.676844783715,13.953488372093,24.6,17.1412924424973,62.015503875969,86.5633074935401,822,3.7712895377129,67.5710594315245,57.1776155717762,100,1.826,48.8464430894309,35.7706260162602,1928,2000
"338",180890417001,8.19312362838332,21.8727139722019,87.0030581039755,8.99653979238754,1367,90.3660886319846,13.7254901960784,14.6,16.020482809071,57.0588235294118,90.7843137254902,558,6.63082437275986,69.7715289982425,40.6810035842294,100,1.367,54.8417803658537,72.4430325203252,1928,2000
"339",180890417005,12.2484689413823,18.6351706036745,88.2352941176471,5.53935860058309,1143,80.6930693069307,32.4937027707809,28.9,20.3849518810149,50.6297229219144,77.5818639798489,441,7.93650793650794,60.8142493638677,14.9659863945578,100,1.143,46.2628419918699,89.4265650406504,1928,2000
"340",180890419002,30.3846153846154,14.6923076923077,96.583850931677,10.0102145045965,1300,98.8549618320611,4.35606060606061,23.3,10.4651162790698,61.5530303030303,78.9772727272727,562,4.98220640569395,66.8810289389068,2.66903914590747,100,1.3,69.7121406097561,143.533394308943,1928,2000
"341",180890421005,12.043956043956,29.6263736263736,93.6560934891486,15.2530292230934,2275,81.6986855409504,16.583912611718,25,8.71681415929203,67.3286991062562,34.0615690168818,1100,7.72727272727273,73.0696798493409,3.90909090909091,100,2.275,55.270126097561,134.515589430894,1928,2000
"342",180890429011,11.6531165311653,22.89972899729,91.439205955335,7.36196319018405,1476,100,2.24525043177893,23.5,11.1111111111111,58.7219343696028,71.5025906735751,689,15.0943396226415,63.1184407796102,7.40203193033382,100,1.476,61.2699722764228,137.822117886179,1928,2000
"343",180890430032,15.7808667211774,24.6116107931316,92.8333333333333,10.0508905852417,1223,97.9704797047971,1.99637023593466,21.3,15.699100572363,68.2395644283122,73.6842105263158,571,4.72854640980736,68.8524590163934,25.0437828371278,100,1.223,60.7454366260163,123.844520325203,1928,2000
"344",180890431011,6.65691294806145,19.4220921726408,96.0363872644574,10.9532267613973,2734,98.2456140350877,2.40083507306889,30,5.69852941176471,50.5219206680584,79.5407098121086,1014,4.43786982248521,50.5915100904663,1.18343195266272,62.8115653040877,2.734,74.8868576422764,166.829390243902,1928,2000
"345",180890434012,14.9450549450549,16.5567765567766,95.8445040214477,8.50409836065574,1365,99.4174757281553,1.55038759689922,13.8,4.15430267062315,54.8449612403101,84.6899224806202,565,7.61061946902655,51.9174041297935,5.84070796460177,0,1.365,75.1483739837398,195.235475609756,1928,2000
"346",180890434041,14.5659928656361,17.8359096313912,96.8867924528302,13.2091447925487,1682,100,0.93603744149766,24.8,5.35077288941736,58.1903276131045,90.795631825273,674,3.70919881305638,57.7868852459016,34.86646884273,0,1.682,76.3567598373984,200.796455284553,1928,2000
"347",180910413001,11.0018438844499,25.1382913337431,90.179806362379,5.8455114822547,1627,60.8974358974359,35.6550580431177,26.2,18.8205771643664,53.7313432835821,62.3548922056385,665,7.06766917293233,89.7314375987362,12.1804511278195,74.1538461538462,1.627,43.1682319512195,105.508317073171,440,2000
"348",180910413002,14.6090534979424,15.7407407407407,94.9698189134809,6.81481481481481,972,94.9029126213592,8.85167464114832,32.8,12.7572016460905,63.8755980861244,94.0191387559809,443,6.09480812641084,80.794701986755,39.5033860045147,91.9101123595506,0.972,62.2814693902439,79.8075731707317,440,2000
