designation,Area,Cent_x,Cent_y,Count
group611.1,26466,-84.82134242087038,39.257474641133335,27
group613.1,8352,-86.61012583147777,39.25152959882222,9
group614.1,12645,-85.94158462602223,39.25124524884445,18
group615.1,601359,-85.89047530332917,39.241484453746665,720
group616.1,62004,-85.74684433333232,39.243215443855384,65
group617.1,63793,-85.09681874907342,39.2337699152443,79
group617.2,14094,-85.09993843571739,39.23742020167391,23
group622.1,14316,-85.8535821748889,39.19268487287222,18
group622.2,8429,-85.86086889781666,39.19881205066667,12
group626.1,37195,-85.93143738333461,39.185464543359615,52
group627.1,236525,-86.54395340336806,39.18267714184182,263
group628.1,246237,-86.58067979330987,39.176730230592256,284
group629.1,8626,-85.58324416853,39.17413186144,10
group63.1,159676,-85.05872960591753,41.756078592491754,194
group630.1,216722,-86.55773064766497,39.166828047479484,234
group631.1,20146,-86.568680425528,39.166181226308,25
group633.1,39312,-86.54448661297833,39.15783958014166,60
group634.1,63741,-86.58859031436,39.1521767600077,65
group634.2,55589,-86.58486080005143,39.15079060028857,70
group634.3,19961,-86.58400971073043,39.14812318693478,23
group635.1,56544,-86.53729733968076,39.145706380342304,52
group635.2,28807,-86.54031914765118,39.14249572740233,43
group636.1,46601,-85.8102339742091,39.1386440190197,66
group637.1,26471,-85.29771649978235,39.13404805115588,34
group637.2,16338,-85.2958039686913,39.12790467550435,23
group638.1,216952,-86.58756950336705,39.12827877657433,261
group64.1,33264,-86.81300922884999,41.750460938834784,46
group640.1,40292,-86.53701780625882,39.127976608411764,51
group641.1,78435,-85.1372276754978,39.12646342932967,91
group642.1,23646,-85.03094234361072,39.124586664775,28
group643.1,44835,-84.85072407892542,39.12315779948136,59
group644.1,196335,-86.5353278384631,39.119079550034954,206
group645.1,42016,-85.09021647968547,39.11865327651818,55
group646.1,16071,-86.976566748405,39.11438833423,20
group647.1,16689,-87.39039899337999,39.094548360750004,20
group648.1,29958,-87.41355483639714,39.085627902177144,35
group649.1,58496,-85.2628413094821,39.073090294595524,67
group650.1,12353,-85.88939783836875,39.057948963625,16
